[2026-09-18T09:08:48.099+00:00] PID:2443156 CPU:NA% RSS_KIB:1920 MEM:0.01207% STATE:D THREADS:1 WCHAN:p9_client_rpc
[2026-09-18T09:09:00.163+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:09:00.164+00:00] PID:2443169 CPU:1.99% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:09:00.667+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:09:00.667+00:00] PID:2443169 CPU:0.00% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:09:01.170+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:09:01.170+00:00] PID:2443169 CPU:0.00% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:09:01.673+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:09:01.673+00:00] PID:2443169 CPU:0.00% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:09:02.176+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:09:02.176+00:00] PID:2443169 CPU:0.00% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:09:02.678+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:09:02.679+00:00] PID:2443169 CPU:0.00% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:09:03.181+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:09:03.182+00:00] PID:2443169 CPU:7.96% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:09:03.683+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:09:03.684+00:00] PID:2443169 CPU:0.00% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:09:04.186+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:09:04.187+00:00] PID:2443169 CPU:0.00% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:09:04.689+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:09:04.690+00:00] PID:2443169 CPU:0.00% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:09:05.192+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:09:05.193+00:00] PID:2443169 CPU:0.00% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:09:05.695+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:09:05.695+00:00] PID:2443169 CPU:0.00% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:09:06.198+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:09:06.198+00:00] PID:2443169 CPU:7.96% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:09:06.700+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:09:06.701+00:00] PID:2443169 CPU:0.00% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:09:07.202+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:09:07.203+00:00] PID:2443169 CPU:0.00% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:09:07.705+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:09:07.705+00:00] PID:2443169 CPU:0.00% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:09:08.207+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:09:08.207+00:00] PID:2443169 CPU:0.00% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:09:08.710+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:09:08.710+00:00] PID:2443169 CPU:0.00% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:09:09.212+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:09:09.213+00:00] PID:2443169 CPU:9.94% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:09:09.715+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:09:09.716+00:00] PID:2443169 CPU:0.00% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:09:10.218+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:09:10.219+00:00] PID:2443169 CPU:0.00% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:09:10.720+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:09:10.721+00:00] PID:2443169 CPU:0.00% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:09:11.224+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:09:11.224+00:00] PID:2443169 CPU:0.00% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:09:11.726+00:00] PID:2443156 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:09:11.726+00:00] PID:2443169 CPU:0.00% RSS_KIB:17776 MEM:0.11179% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:09:12.229+00:00] EVENT:PROCESS_EXITED
