[2026-09-18T09:12:50.483+00:00] PID:2447012 CPU:NA% RSS_KIB:1920 MEM:0.01207% STATE:R THREADS:1 WCHAN:p9_client_rpc
[2026-09-18T09:12:53.976+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:53.976+00:00] PID:2447020 CPU:0.00% RSS_KIB:43648 MEM:0.27448% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:54.078+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:54.079+00:00] PID:2447020 CPU:0.00% RSS_KIB:43648 MEM:0.27448% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:54.181+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:54.182+00:00] PID:2447020 CPU:0.00% RSS_KIB:43648 MEM:0.27448% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:54.284+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:54.284+00:00] PID:2447020 CPU:0.00% RSS_KIB:43648 MEM:0.27448% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:54.387+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:54.387+00:00] PID:2447020 CPU:0.00% RSS_KIB:43648 MEM:0.27448% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:54.490+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:54.491+00:00] PID:2447020 CPU:0.00% RSS_KIB:43648 MEM:0.27448% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:54.593+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:54.593+00:00] PID:2447020 CPU:0.00% RSS_KIB:43648 MEM:0.27448% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:54.695+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:54.695+00:00] PID:2447020 CPU:0.00% RSS_KIB:43648 MEM:0.27448% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:54.798+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:54.799+00:00] PID:2447020 CPU:0.00% RSS_KIB:43648 MEM:0.27448% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:54.901+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:54.902+00:00] PID:2447020 CPU:0.00% RSS_KIB:43648 MEM:0.27448% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:55.004+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:55.004+00:00] PID:2447020 CPU:0.00% RSS_KIB:43648 MEM:0.27448% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:55.106+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:55.107+00:00] PID:2447020 CPU:0.00% RSS_KIB:43648 MEM:0.27448% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:55.209+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:55.209+00:00] PID:2447020 CPU:0.00% RSS_KIB:43648 MEM:0.27448% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:55.311+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:55.312+00:00] PID:2447020 CPU:0.00% RSS_KIB:43648 MEM:0.27448% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:55.414+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:55.414+00:00] PID:2447020 CPU:0.00% RSS_KIB:43648 MEM:0.27448% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:55.516+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:55.516+00:00] PID:2447020 CPU:0.00% RSS_KIB:43648 MEM:0.27448% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:55.619+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:55.619+00:00] PID:2447020 CPU:0.00% RSS_KIB:43648 MEM:0.27448% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:55.721+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:55.722+00:00] PID:2447020 CPU:0.00% RSS_KIB:43648 MEM:0.27448% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:55.824+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:55.824+00:00] PID:2447020 CPU:0.00% RSS_KIB:43648 MEM:0.27448% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:55.927+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:55.928+00:00] PID:2447020 CPU:0.00% RSS_KIB:43648 MEM:0.27448% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:56.030+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:56.030+00:00] PID:2447020 CPU:0.00% RSS_KIB:43648 MEM:0.27448% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:56.132+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:56.133+00:00] PID:2447020 CPU:0.00% RSS_KIB:43648 MEM:0.27448% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:56.235+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:56.236+00:00] PID:2447020 CPU:0.00% RSS_KIB:43648 MEM:0.27448% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:56.338+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:56.339+00:00] PID:2447020 CPU:0.00% RSS_KIB:43648 MEM:0.27448% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:56.440+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:56.441+00:00] PID:2447020 CPU:0.00% RSS_KIB:43648 MEM:0.27448% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:56.543+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:56.543+00:00] PID:2447020 CPU:0.00% RSS_KIB:43648 MEM:0.27448% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:56.645+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:56.646+00:00] PID:2447020 CPU:0.00% RSS_KIB:43648 MEM:0.27448% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:56.748+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:56.748+00:00] PID:2447020 CPU:0.00% RSS_KIB:43648 MEM:0.27448% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:56.850+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:56.851+00:00] PID:2447020 CPU:9.73% RSS_KIB:69248 MEM:0.43547% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:56.953+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:56.953+00:00] PID:2447020 CPU:9.78% RSS_KIB:69248 MEM:0.43547% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:57.055+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:57.056+00:00] PID:2447020 CPU:0.00% RSS_KIB:69248 MEM:0.43547% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:57.159+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:57.159+00:00] PID:2447020 CPU:0.00% RSS_KIB:69248 MEM:0.43547% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:57.261+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:57.261+00:00] PID:2447020 CPU:0.00% RSS_KIB:69248 MEM:0.43547% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:57.364+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:57.364+00:00] PID:2447020 CPU:0.00% RSS_KIB:69248 MEM:0.43547% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:57.467+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:57.467+00:00] PID:2447020 CPU:0.00% RSS_KIB:69248 MEM:0.43547% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:57.570+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:57.570+00:00] PID:2447020 CPU:0.00% RSS_KIB:69248 MEM:0.43547% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:57.672+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:57.673+00:00] PID:2447020 CPU:0.00% RSS_KIB:69248 MEM:0.43547% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:57.775+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:57.776+00:00] PID:2447020 CPU:0.00% RSS_KIB:69248 MEM:0.43547% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:57.878+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:57.878+00:00] PID:2447020 CPU:0.00% RSS_KIB:69248 MEM:0.43547% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:57.981+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:57.981+00:00] PID:2447020 CPU:0.00% RSS_KIB:69248 MEM:0.43547% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:58.083+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:58.084+00:00] PID:2447020 CPU:0.00% RSS_KIB:69248 MEM:0.43547% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:58.186+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:58.186+00:00] PID:2447020 CPU:0.00% RSS_KIB:69248 MEM:0.43547% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:58.288+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:58.289+00:00] PID:2447020 CPU:0.00% RSS_KIB:69248 MEM:0.43547% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:58.392+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:58.392+00:00] PID:2447020 CPU:0.00% RSS_KIB:69248 MEM:0.43547% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:58.494+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:58.495+00:00] PID:2447020 CPU:0.00% RSS_KIB:69248 MEM:0.43547% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:58.597+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:58.597+00:00] PID:2447020 CPU:0.00% RSS_KIB:69248 MEM:0.43547% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:58.700+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:58.700+00:00] PID:2447020 CPU:0.00% RSS_KIB:69248 MEM:0.43547% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:58.803+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:58.803+00:00] PID:2447020 CPU:0.00% RSS_KIB:69248 MEM:0.43547% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:58.906+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:58.906+00:00] PID:2447020 CPU:0.00% RSS_KIB:69248 MEM:0.43547% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:59.008+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:59.009+00:00] PID:2447020 CPU:0.00% RSS_KIB:69248 MEM:0.43547% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:59.111+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:59.111+00:00] PID:2447020 CPU:0.00% RSS_KIB:69248 MEM:0.43547% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:59.213+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:59.214+00:00] PID:2447020 CPU:0.00% RSS_KIB:69248 MEM:0.43547% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:59.316+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:59.316+00:00] PID:2447020 CPU:0.00% RSS_KIB:69248 MEM:0.43547% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:12:59.420+00:00] PID:2447012 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:12:59.421+00:00] PID:2447020 CPU:0.00% RSS_KIB:69248 MEM:0.43547% STATE:S THREADS:3 WCHAN:futex_wait_queue
